state,state_name,count_weeks,total,measure_type,measure,measure_ina,measure_n,start_week,end_week,measure_pct,measure_pct_ina,measure_median_pct_march,measure_ppt_diff_after_shutdowns
MN,Minnesota,4,435421,occ,healthcare_support,0,7681,2020-03-21,2020-04-11,0.01764039860273161,0,0.015124400171040338,0
MN,Minnesota,4,435421,occ,installation_maintenance_repair,0,5192,2020-03-21,2020-04-11,0.011924091855927941,0,0.03357372350507362,-2
MN,Minnesota,4,435421,occ,legal,0,344,2020-03-21,2020-04-11,7.900399842910654e-4,0,0.002250512690760913,-0
MN,Minnesota,4,435421,occ,life_physical_social_sciences,0,136,2020-03-21,2020-04-11,3.123413891383282e-4,0,0.0022732778057279147,-0
MN,Minnesota,4,435421,occ,mgmt,0,8595,2020-03-21,2020-04-11,0.019739516467970078,0,0.03628682842287695,-2
MN,Minnesota,4,435421,occ,office_admin_support,0,13239,2020-03-21,2020-04-11,0.03040505625589946,0,0.06008603614756128,-3
MN,Minnesota,4,435421,occ,personal_care_service,0,11319,2020-03-21,2020-04-11,0.02599553076218189,0,0.005310526021577506,2
MN,Minnesota,4,435421,occ,production,0,10448,2020-03-21,2020-04-11,0.0239951678949798,0,0.09100563438449512,-7
MN,Minnesota,4,435421,occ,protective_sevice,0,773,2020-03-21,2020-04-11,0.001775293336793586,0,0.0032049490375836175,-0
MN,Minnesota,4,435421,occ,sales_related,0,15518,2020-03-21,2020-04-11,0.035639071151827774,0,0.04514342024662423,-1
MN,Minnesota,4,435421,occ,transportation_material_moving,0,8609,2020-03-21,2020-04-11,0.019771669258028438,0,0.07679134745380801,-6
MN,Minnesota,4,435421,race,asian,28091,21354,2020-03-21,2020-04-11,0.05242432425797265,0.06451457325209395,0.016188707389479532,4
MN,Minnesota,4,435421,race,black,28091,31783,2020-03-21,2020-04-11,0.07802764343407066,0.06451457325209395,0.05089065573316342,3
MN,Minnesota,4,435421,race,hawaiian_pi,28091,701,2020-03-21,2020-04-11,0.0017209633466722313,0.06451457325209395,0.0018290452383855627,-0
MN,Minnesota,4,435421,race,ina,28091,28091,2020-03-21,2020-04-11,0.06451457325209395,0.06451457325209395,0.06030327605465702,0
MN,Minnesota,4,435421,race,native_alaskan,28091,5411,2020-03-21,2020-04-11,0.013284069427736725,0.06451457325209395,0.011918247899556311,0
MN,Minnesota,4,435421,race,white,28091,326660,2020-03-21,2020-04-11,0.8019541894778189,0.06451457325209395,0.908972972972973,-11
MN,Minnesota,4,435421,sex,female,0,239971,2020-03-21,2020-04-11,0.5511240845067188,0,0.2391559202813599,31
MN,Minnesota,4,435421,sex,male,0,195450,2020-03-21,2020-04-11,0.4488759154932812,0,0.7608440797186401,-31
MT,Montana,3,67433,age,24_under,0,12679,2020-03-21,2020-04-04,0.18802366793706346,0,0.09458999659748214,9
MT,Montana,3,67433,age,25_34,0,19629,2020-03-21,2020-04-04,0.29108893271840197,0,0.25306271713293105,4
MT,Montana,3,67433,age,35_44,0,13751,2020-03-21,2020-04-04,0.20392092892204114,0,0.2262305595638929,-2
MT,Montana,3,67433,age,45_54,0,9326,2020-03-21,2020-04-04,0.13830023875550546,0,0.22718961418906564,-9
MT,Montana,3,67433,age,55_64,0,8667,2020-03-21,2020-04-04,0.12852757551940444,0,0.14218366962096926,-1
MT,Montana,3,67433,age,65_over,0,3381,2020-03-21,2020-04-04,0.050138656147583525,0,0.03267423923713364,2
MT,Montana,3,67433,eth,ina,4101,4101,2020-03-21,2020-04-04,0.06081592098824018,0.06081592098824018,0.05203113338308988,1
MT,Montana,3,67433,eth,latinx,4101,2882,2020-03-21,2020-04-04,0.04550622118360387,0.06081592098824018,0.026222032207496082,2
MT,Montana,3,67433,eth,not_latinx,4101,59644,2020-03-21,2020-04-04,0.9417671950988442,0.06081592098824018,0.9633913209711337,-2
MT,Montana,3,67433,race,ina,2034,2034,2020-03-21,2020-04-04,0.03016327317485504,0.03016327317485504,0.009891196834817012,2
MT,Montana,3,67433,race,native_alaskan,2034,2686,2020-03-21,2020-04-04,0.041070964387834676,0.03016327317485504,0.09328071906171216,-5
MT,Montana,3,67433,race,white,2034,60169,2020-03-21,2020-04-04,0.920029358247068,0.03016327317485504,0.8848298244154115,4
MT,Montana,3,67433,sex,female,1465,37804,2020-03-21,2020-04-04,0.5730657288382246,0.021725268043836104,0.28075762655045255,29
MT,Montana,3,67433,sex,ina,1465,1465,2020-03-21,2020-04-04,0.021725268043836104,0.021725268043836104,5.214851898206091e-4,2
MT,Montana,3,67433,sex,male,1465,28164,2020-03-21,2020-04-04,0.4269342711617754,0.021725268043836104,0.7192423734495474,-29
ND,North Dakota,4,45238,age,24_under,31,7828,2020-03-21,2020-04-11,0.1731590240449488,6.852646005570538e-4,0.0785483870967742,9
ND,North Dakota,4,45238,age,25_34,31,13360,2020-03-21,2020-04-11,0.295529453403234,6.852646005570538e-4,0.24561140285071267,5
ND,North Dakota,4,45238,age,35_44,31,9567,2020-03-21,2020-04-11,0.21162651801712123,6.852646005570538e-4,0.2147957726363896,-0
ND,North Dakota,4,45238,age,45_54,31,6702,2020-03-21,2020-04-11,0.1482513769991373,6.852646005570538e-4,0.23205417607223477,-8
ND,North Dakota,4,45238,age,55_64,31,5668,2020-03-21,2020-04-11,0.1253788130156834,6.852646005570538e-4,0.16128725126154433,-4
ND,North Dakota,4,45238,age,65_over,31,2082,2020-03-21,2020-04-11,0.04605481451987524,6.852646005570538e-4,0.0468548238332411,-0
ND,North Dakota,4,45238,age,ina,31,31,2020-03-21,2020-04-11,6.852646005570538e-4,6.852646005570538e-4,0.005655042412818096,-0
ND,North Dakota,4,45238,eth,ina,1115,1115,2020-03-21,2020-04-11,0.024647420310358548,0.024647420310358548,0.021292353267913348,0
ND,North Dakota,4,45238,eth,latinx,1115,2627,2020-03-21,2020-04-11,0.059538109376062374,0.024647420310358548,0.026285272516428294,3
ND,North Dakota,4,45238,eth,not_latinx,1115,41496,2020-03-21,2020-04-11,0.9404618906239376,0.024647420310358548,0.9606272939606273,-2
ND,North Dakota,4,45238,industry,accomodation_food,3664,9017,2020-03-21,2020-04-11,0.2168903641699139,0.08099385472390468,0.022055052145665926,19
ND,North Dakota,4,45238,industry,admin_support_wastemgmt_remedial,3664,1583,2020-03-21,2020-04-11,0.03807668254197335,0.08099385472390468,0.042834195966446546,-0
ND,North Dakota,4,45238,industry,ag_forest_fish_hunt,3664,118,2020-03-21,2020-04-11,0.002838312406792707,0.08099385472390468,0.03364862769421616,-3
ND,North Dakota,4,45238,industry,arts_ent_rec,3664,1852,2020-03-21,2020-04-11,0.04454707268966181,0.08099385472390468,0.005471020687296974,4
ND,North Dakota,4,45238,industry,construction,3664,3079,2020-03-21,2020-04-11,0.0740607110213114,0.08099385472390468,0.4202828478182038,-35
ND,North Dakota,4,45238,industry,educational_services,3664,1196,2020-03-21,2020-04-11,0.028767979987492184,0.08099385472390468,6.838775859121217e-4,3
ND,North Dakota,4,45238,industry,finance_insurance,3664,285,2020-03-21,2020-04-11,0.006855246067253572,0.08099385472390468,0.00837681955506729,-0
ND,North Dakota,4,45238,industry,healthcare_social_assistance,3664,5343,2020-03-21,2020-04-11,0.12851782363977485,0.08099385472390468,0.02215909090909091,11
ND,North Dakota,4,45238,industry,ina,3664,3664,2020-03-21,2020-04-11,0.08099385472390468,0.08099385472390468,0.039755807027992855,4
ND,North Dakota,4,45238,industry,information,3664,221,2020-03-21,2020-04-11,0.005315822388993121,0.08099385472390468,0.008075842696629214,-0
ND,North Dakota,4,45238,industry,management_of_cos_ent,3664,43,2020-03-21,2020-04-11,0.0010343002838312408,0.08099385472390468,8.778089887640449e-4,0
ND,North Dakota,4,45238,industry,manufacturing,3664,4094,2020-03-21,2020-04-11,0.09847500841872324,0.08099385472390468,0.09290248124639354,1
ND,North Dakota,4,45238,industry,mining,3664,3787,2020-03-21,2020-04-11,0.09109058546206764,0.08099385472390468,0.05844675740592474,3
ND,North Dakota,4,45238,industry,other_services_excl_public_admin,3664,2106,2020-03-21,2020-04-11,0.05065666041275797,0.08099385472390468,0.0117794038907728,4
ND,North Dakota,4,45238,industry,prof_scientific_tech_services,3664,959,2020-03-21,2020-04-11,0.02306730167893395,0.08099385472390468,0.024431818181818183,-0
ND,North Dakota,4,45238,industry,public_admin,3664,214,2020-03-21,2020-04-11,0.005147447924183384,0.08099385472390468,0.03650485436893204,-3
ND,North Dakota,4,45238,industry,real_estate,3664,494,2020-03-21,2020-04-11,0.011882426516572859,0.08099385472390468,0.004864759680871765,1
ND,North Dakota,4,45238,industry,retail_trade,3664,4172,2020-03-21,2020-04-11,0.10035118102660316,0.08099385472390468,0.03729232944503358,6
ND,North Dakota,4,45238,industry,transport_warehouse,3664,1714,2020-03-21,2020-04-11,0.04122769038341271,0.08099385472390468,0.033306645316253006,1
ND,North Dakota,4,45238,industry,utilities,3664,37,2020-03-21,2020-04-11,8.899793139943233e-4,0.08099385472390468,0.0022024226649314245,-0
ND,North Dakota,4,45238,industry,wholesale_trade,3664,1260,2020-03-21,2020-04-11,0.030307403665752634,0.08099385472390468,0.04439546599496222,-1
ND,North Dakota,4,45238,occ,architecture_engineering,61,246,2020-03-21,2020-04-11,0.005445248688491932,0.0013484238914187189,0.008556149732620321,-0
ND,North Dakota,4,45238,occ,arts_design_ent_sports_media,61,865,2020-03-21,2020-04-11,0.019146911038802932,0.0013484238914187189,0.004506760140210316,1
ND,North Dakota,4,45238,occ,building_grounds_cleaning_maintenance,61,1309,2020-03-21,2020-04-11,0.028974920866812758,0.0013484238914187189,0.019958576539258144,1
ND,North Dakota,4,45238,occ,bussiness_financial_operations,61,484,2020-03-21,2020-04-11,0.010713416118821524,0.0013484238914187189,0.01236056677720832,-0
ND,North Dakota,4,45238,occ,communinity_social_services,61,440,2020-03-21,2020-04-11,0.009739469198928659,0.0013484238914187189,0.003008849557522124,1
ND,North Dakota,4,45238,occ,computer_math,61,129,2020-03-21,2020-04-11,0.0028554352878677205,0.0013484238914187189,0.005959849435382685,-0
ND,North Dakota,4,45238,occ,construction_extraction,61,5741,2020-03-21,2020-04-11,0.1270779378887487,0.0013484238914187189,0.41453831041257366,-29
ND,North Dakota,4,45238,occ,educational_library,61,1299,2020-03-21,2020-04-11,0.028753569294109833,0.0013484238914187189,0.004095563139931741,2
ND,North Dakota,4,45238,occ,farming_fishing_forestry,61,178,2020-03-21,2020-04-11,0.003940057994112048,0.0013484238914187189,0.04088102786584349,-4
ND,North Dakota,4,45238,occ,food_prep_serving,61,8899,2020-03-21,2020-04-11,0.1969807645483321,0.0013484238914187189,0.01585711901185111,18
ND,North Dakota,4,45238,occ,healthcare_practitioners_technical,61,2416,2020-03-21,2020-04-11,0.05347853996502645,0.0013484238914187189,0.005508262393590386,5
ND,North Dakota,4,45238,occ,healthcare_support,61,1744,2020-03-21,2020-04-11,0.03860371427938995,0.0013484238914187189,0.00653933983807349,3
ND,North Dakota,4,45238,occ,ina,61,61,2020-03-21,2020-04-11,0.0013484238914187189,0.0013484238914187189,0.019372278119837813,-2
ND,North Dakota,4,45238,occ,installation_maintenance_repair,61,1781,2020-03-21,2020-04-11,0.03942271509839077,0.0013484238914187189,0.04279193609737543,-0
ND,North Dakota,4,45238,occ,legal,61,80,2020-03-21,2020-04-11,0.0017708125816233925,0.0013484238914187189,9.188361408882082e-4,0
ND,North Dakota,4,45238,occ,life_physical_social_sciences,61,109,2020-03-21,2020-04-11,0.002412732142461872,0.0013484238914187189,0.0022610792885137173,0
ND,North Dakota,4,45238,occ,mgmt,61,1557,2020-03-21,2020-04-11,0.03446443986984528,0.0013484238914187189,0.02711353794012427,1
ND,North Dakota,4,45238,occ,military,61,6,2020-03-21,2020-04-11,1.3281094362175444e-4,0.0013484238914187189,5.324813631522897e-4,-0
ND,North Dakota,4,45238,occ,office_admin_support,61,1920,2020-03-21,2020-04-11,0.04249950195896142,0.0013484238914187189,0.04868771395968049,-1
ND,North Dakota,4,45238,occ,personal_care_service,61,3467,2020-03-21,2020-04-11,0.07674259025610378,0.0013484238914187189,0.0037367656217562797,7
ND,North Dakota,4,45238,occ,production,61,5288,2020-03-21,2020-04-11,0.11705071164530624,0.0013484238914187189,0.07816660327120578,4
ND,North Dakota,4,45238,occ,protective_sevice,61,122,2020-03-21,2020-04-11,0.0027004891869756736,0.0013484238914187189,0.005174428309130362,-0
ND,North Dakota,4,45238,occ,sales_related,61,4762,2020-03-21,2020-04-11,0.10540761892113243,0.0013484238914187189,0.03456508200124559,7
ND,North Dakota,4,45238,occ,transportation_material_moving,61,2335,2020-03-21,2020-04-11,0.05168559222613277,0.0013484238914187189,0.1198893936401343,-7
ND,North Dakota,4,45238,race,asian,1115,901,2020-03-21,2020-04-11,0.02042018901706593,0.024647420310358548,0.001386241552590539,2
ND,North Dakota,4,45238,race,black,1115,2361,2020-03-21,2020-04-11,0.05350950751308841,0.024647420310358548,0.0090263107355483,4
ND,North Dakota,4,45238,race,hawaiian_pi,1115,153,2020-03-21,2020-04-11,0.0034675792670489313,0.024647420310358548,0.0011035787482263912,0
