state,rptdate,sex_male,sex_female,sex_ina,eth_latinx,eth_not_latinx,eth_ina,race_native_alaskan,race_asian,race_black,race_hawaiian_pi,race_white,race_ina,age_under_22,age_22_24,age_24_under,age_25_34,age_35_44,age_45_54,age_55_64,age_55_59,age_60_64,age_65_over,age_ina,industry_ag_forest_fish_hunt,industry_mining,industry_utilities,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transport_warehouse,industry_information,industry_finance_insurance,industry_real_estate,industry_prof_scientific_tech_services,industry_management_of_cos_ent,industry_admin_support_wastemgmt_remedial,industry_educational_services,industry_healthcare_social_assistance,industry_arts_ent_rec,industry_accomodation_food,industry_other_services_excl_public_admin,industry_public_admin,industry_ina,occ_mgmt,occ_bussiness_financial_operations,occ_computer_math,occ_architecture_engineering,occ_life_physical_social_sciences,occ_communinity_social_services,occ_legal,occ_educational_library,occ_arts_design_ent_sports_media,occ_healthcare_practitioners_technical,occ_healthcare_support,occ_protective_sevice,occ_food_prep_serving,occ_building_grounds_cleaning_maintenance,occ_personal_care_service,occ_sales_related,occ_office_admin_support,occ_farming_fishing_forestry,occ_construction_extraction,occ_installation_maintenance_repair,occ_production,occ_transportation_material_moving,occ_military,occ_ina,raceeth_latinx_native,raceeth_latinx_other,raceeth_latinx_unknown,raceeth_latinx_white,raceeth_not_latinx_native,raceeth_not_latinx_other,raceeth_not_latinx_unknown,raceeth_not_latinx_white,raceeth_unknown_native,raceeth_unknown_other,raceeth_ina,raceeth_unknown_white,racecombined_native_alaskan,racecombined_asian,racecombined_black,racecombined_latinx,racecombined_hawaiian_pi,racecombined_ina,racecombined_white,racecombined_asian_pi
CA,3/7/20,25301,18262,,,,,,,,,,,,,3910.00,11183,9092,8900,8113,,,2332,,2459,56,50,5423,2798.00,1316,3329.00,3329.00,3292,667,578,2862,211,4340,1094,2666,769,2753,730,2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,4047,3896,17169,,,13936,
CA,3/14/20,33340,24288,,,,,,,,,,,,,5099.00,16017,12520,11435,9850,,,2673,,2381,77,36,6756,2717.00,1309,3280.00,3280.00,4695,709,972,3209,198,5253,1801,3105,1745,8049,1010,3734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,5812,4591,21846,,,19383,
CA,3/21/20,89589,95711,,,,,,,,,,,,,28057.00,63067,37702,28334,21783,,,6266,,2138,95,71,15627,7563.00,3498,12613.00,12613.00,9492,1179,2596,6705,499,10781,9770,18279,9504,45365,6817,10404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335,22464,10295,67270,,,69303,
CA,3/28/20,490149,565651,,,,,,,,,,,,,212118.00,336025,194211,152721,121628,,,38285,,5368,589,330,60632,53842.00,30903,117897.00,117897.00,27056,7623,17402,39810,3446,56512,36029,117208,46812,239911,55089,107370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7789,133963,56399,376467,,,393867,
CA,4/4/20,437709,475611,,,,,,,,,,,,,145986.00,238267,177994,166123,137950,,,45667,,5794,576,252,39199,42588.00,29463,110958.00,110958.00,20831,7208,13348,34388,3523,47109,23820,82190,30377,128589,44332,218357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5681,174171,49312,307164,,,308837,
CA,4/11/20,320604,329548,,,,,,,,,,,,,100661.00,164860,125906,119760,101942,,,35236,,6793,742,243,33558,31387.00,19713,82121.00,82121.00,15939,5200,9121,25177,3009,35914,16444,54594,21308,73851,26574,163373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4110,124049,37834,227043,,,214421,
CA,4/18/20,262707,261045,,,,,,,,,,,,,98916.00,138708,97196,88273,74120,,,25639,,5512,630,262,27355,31029.00,17515,64880.00,64880.00,13184,4990,7356,22676,2379,31802,15205,49544,22858,63823,19408,99474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3368,102587,32964,184969,,,167765,
CA,4/25/20,161766,160032,,,,,,,,,,,,,58069.00,86125,60769,54672,46417,,,15229,,4050,489,197,17347,18847.00,11043,36193.00,36193.00,8590,3100,4337,14658,1578,20135,9183,33235,19606,36129,10382,56498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2111,56498,19896,118086,,,104756,
